1,101.7,3.549,29.496,5.57,28.275,1.587,737.7,7.6,28.615,9.532,584.9,1.587,171.7,3.175,203.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.587,1.19,3.175,152.865,2.778,53.175,1.19,3.175,5.556,43.658,1.587,167.7,2.381,204.424,1.19,40.67,1.587,340.9,1.587,12.754,1.587,62.428,1.19,11.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18.056,1.19,1.191,1.19,1.786,3.968,34.326,1.984,2.778,5.952,230.529,1.19,53.027,4.762,133.1665,3.175,41.845,5.357,139.3175,3.968,68.5805,8.333,10.166,1.587,41.313,1.587,4.7625,3.968,57.4635,9.921,51.3295,1.19,460.1115,1.587,62.114,1.587,1.1905,3.968,6.548,1.19,12.521,4.762,126.857,9.524,77.1985,1.587,455.7225,3.968,112.174,5.556,283.227,1.19,20.368,1.984,43.1415,1.587,349.2115,1.19,105.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68.669,1.587,16.275,2.381,47.626,3.175,52.387,3.571,15.878,1.587,319.6,3.175,47.66,1.587,90.943,1.19,12.698,1.587,86.144,2.778,21.84,1.587,19.845,4.762,5.159,3.175,27.384,3.175,71.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16.2695,2.381,85.746,6.349,16.8655,1.19,24.8045,1.587,20.241,7.143,1.191,1.587,1.3895,6.746,52.2165,6.349,33.5505,2.778,79.5875,1.587,1.5875,3.968,33.739,4.762,22.037,1.19,345.329,5.952,50.329,1.19,11.905,1.19,35.5185,2.381,213.116,1.587,9.325,5.159,4.96,3.175,81.754,3.175,103.796,3.571,67.9225,1.984,270.7225,3.571,104.2645,1.19,102.26,1.19,49.5175,3.175,113.7535,1.19,130.0415,9.127,20.117,1.587,1.3895,1.19,19.536,2.778,114.616,1.19,23.6605,2.381,61.62,4.365,71.232,3.571,114.0435,6.758,24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,153.005,3.175,249.5,5.952,186.2,7.54,13.515,1.587,1.587,1.19,5.556,4.762,23.426,1.19,13.492,2.381,20.242,1.984,46.832,5.952,47.621,3.175,191.7,5.952,7.143,1.587,100.844,1.587,101.3,1.19,13.095,8.333,4.365,1.587,61.967,17.465,218.5,5.159,8.739,1.587,91.019,1.587,7.946,2.381,1.19,1.984,158.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67.065,6.349,53.968,5.159,141.8,5.952,36.51,3.175,200.8,4.365,3.968,12.698,1.984,4.365,7.55,4.762,101.587,1.587,131.1,1.19,23.813,7.143,44.446,1.587,142.1,2.778,7.54,1.587,17.46,1.984,17.46,1.984,18.254,4.365,267.1,1.587,17.478,2.778,113.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.714,3.571,1.984,6.349,15.476,3.571,2.778,1.587,2.778,7.937,3.175,65.596,6.349,7.54,6.746,43.319,5.952,26.987,4.365,23.813,6.349,3.968,10.714,51.266,1.587,20.65,2.778,19.857,11.118,1.984,5.556,23.03,7.143,13.101,4.762,2.778,3.571,10.722,3.571,20.65,1.587,1.19,6.349,3.175,3.175,85,6.746,36.131,8.73,104.781,1.587,38.891,2.381,1.587,1.587,1.587,14.688,30.566,11.905,26.193,9.921,1.587,1.587,82.983,1.587,4.762,3.571,17.063,3.175,3.968,1.984,125.5,2.778,1.587,1.984,13.492,1.984,31.359,3.571,13.095,1.19,10.714,17.063,6.746,2.778,78.969,3.968,175.5,2.778,13.498,6.349,85.747,1.984,55.194,1.19,27.781,2.381,328.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
