248.477086,69.016862,2.511025,36.529955,2.137845,791.639835,5.558,11.513,3.176,255.342063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.629407,115.374155,4.367,359.703438,2.779,54.169062,3.573,605.267391,2.382,4.764,2.89016,403.727562,1.985,89.402018,1.985,62.014576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583.438293,88.385301,4.764,71.243635,1.985,130.038938,1.588,201.935638,1.588,127.764128,2.807187,240.367223,1.985,99.956263,2.382,21.842543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16.713303,209.531042,4.764,485.670744,5.558,230.087702,2.779,98.480614,21.438,12.307,1.588,106.440067,1.588,163.138813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34.371466,96.121243,7.584685,165.610138,11.998531,290.140701,2.382,155.666082,9.131,204.244193,10.322,152.417828,6.084025,187.262518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.598512,8.41243,10.051246,13.663152,5.161,24.496885,8.927339,3.97,22.292344,4.764,34.159468,4.367,3.97,14.704086,20.653925,15.609246,39.705558,15.483,30.573367,3.97,26.998779,9.528,8.337,34.985625,7.146,20.247,7.157116,21.046955,8.337,14.292,15.89985,37.383505,32.249501,3.176,42.623111,13.498,8.337,19.870247,198.295148,12.773078,339.363937,13.895,6.749,32.226078,37.753509,9.528,35.342528,9.925,32.951,9.131,26.21391,3.573,81.435022,1.588,19.480393,5.176086,15.192793,8.734,52.835142
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N
514.531003,125.487333,15.503247,10.390681,8.337,39.726599,96.741754,12.10056,7.192052,14.640963,8.814988,300.068083,6.401625,5.955,5.955,5.176086,3.573,71.206317,13.302676,104.50231,5.176086,11.574535,3.98985,39.56105,7.553322,66.968342,7.553322,12.797295,87.863643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31.374513,4.367,31.365382,505.801423,8.734,207.454335,59.753661,5.176086,5.971674,13.498,6.749,4.367,7.9797,512.310635,53.641846,86.244677,4.764,454.940562,5.161,11.26686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,205.196993,4.829902,155.924926,5.161,162.995893,5.558,276.579181,5.955,1.985,9.172685,163.058619,5.558,58.05331,5.161,129.557377,5.161,83.021831,6.749,485.412694,4.367,37.807501,3.97,297.582863,4.764,6.364307,5.558,314.537939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.392291,1463.309446,16.296453,478.654166,4.048606,348.949899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531.600415,1631.762898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
