3096.28432,761.777495,1.985,162.743798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290.103939,316.959639,2.779,83.117508,2.382,104.536452,2.779,500.221191,5.572292,320.481823,2.779,285.618871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785.22368,39.857212,3.573,499.782506,7.584685,428.289555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079.935439,20.290273,3.573,304.284223,4.367,187.609099,4.367,210.864962,3.573,503.119291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3210.236,85.385966,6.352,408.065978,4.829902,50.495224,2.779,139.772584,1.588,379.763054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967.71664,10.868669,433.134146,10.748775,78.652846,2.382,737.358025,2.414951,152.224489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005.740506,2.779,7.21746,2.382,23.900194,2.779,125.251118,11.534835,73.668511,5.558,46.462101,6.072909,7.949925,5.161,102.987358,1.985,37.32197,7.170614,16.337344,5.955,11.766683,3.176,203.504979,5.655662,3.97,5.161,46.5284,3.176,56.158032,6.901845,11.000076,1.985,343.35339,6.304757,7.94,8.337,35.750247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3161.544347,99.140031,11.574535,2.414951,77.243496,7.146,165.891611,5.161,38.645568,16.678764,150.079895,14.352741,21.529707,11.144187,39.511425,6.749,182.726396,27.529568,153.585008,5.968101,33.434149,9.93294,113.537236,3.573,58.869939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134.525718,49.848908,5.614374,9.528,42.876,3.573,39.708734,16.342902,5.558,18.397774,137.899141,2.779,5.955,3.97,12.704,7.567614,100.588287,4.367,3.97,8.337,238.106308,5.614374,151.492024,3.391968,8.151998,3.97,4.496025,3.573,186.957225,71.223388,121.325582,3.66034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440.140561,44.474322,3.573,38.962771,5.955,6.401625,2.382,13.895,17.89676,99.794287,9.131,3.573,7.94,37.335071,8.42434,49.707973,15.89985,17.18613,1.588,8.337,17.899539,33.769614,13.895,63.57161,7.94,7.146,13.900558,116.652495,5.558,23.952995,13.154992,23.039498,16.674,15.107041,17.683968,42.49488,1.588,5.955,19.85,25.817307,15.884764,15.086,3.573,56.40179,2.414951,79.151081,7.146,5.572292,5.955,16.678764,15.091161,92.192928,11.116,14.330509,3.176,31.875924,8.111504,31.792554,11.916749,31.77191,39.730966,79.837891,17.93646,17.123007,3.176,10.976653,6.749,13.895,7.979303,187.173193,6.352,11.91,3.98985,113.701594,13.154992,26.674827,4.764,129.457333
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N
2067.944327,175.326316,4.048606,145.797059,3.176,100.4807,2.382,42.139168,7.065409,26.625599,1.985,13.503955,15.529449,9.93294,17.468,7.94,14.832714,18.266367,10.322,24.621543,5.558,67.12476,9.528,10.731307,11.603913,19.453,3.573,102.140954,11.936599,7.94,5.161,45.286981,9.209606,37.066699,6.749,19.065131,15.507217,205.744853,9.131,52.413131,3.573,148.97822,10.816662,49.367744,1.588,12.423321,23.433322,18.3017,36.621265,13.895,8.337,24.702928,47.31843,6.364307,12.315734,42.261444,9.139734,15.488161,21.065217,46.233429,8.166687,11.916749,10.350981,7.94,12.13629,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,
2717.216389,6.352,16.400467,3.97,31.517036,20.397463,11.916749,5.021653,16.858208,6.401625,53.212292,1.985,42.143138,1.985,36.695901,10.098489,28.989734,7.255175,70.34046,14.520672,49.747276,21.464599,11.926674,7.94,182.161465,2.779,7.553322,5.955,9.536337,7.178951,18.410875,9.15085,24.652906,10.336292,47.657071,10.322,5.161,2.382,58.892568,15.143962,3.176,5.955,13.101,33.410726,35.700225,4.157384,12.222042,4.367,73.082539,5.558,16.688292,21.063232,23.837865,3.573,31.384438,26.687928,109.208348,2.779,29.794453,19.124284,70.71761,7.964614,118.547773,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,
2996.821131,73.506932,28.600277,39.308955,7.543,85.059632,8.734,6.364307,8.346528,48.838543,41.465062,44.234534,4.764,26.228996,12.704,55.380309,7.94,11.116,1.985,18.689569,8.788786,12.710352,28.577648,8.734,19.341046,21.438,10.322,33.754528,18.266367,57.99773,14.706865,173.664474,7.94,18.69076,3.97,26.250037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930.04928,31.919991,3.573,6.364307,3.176,69.014083,1.985,107.645756,1.985,21.135486,17.071,4.367,5.590951,68.166488,5.161,5.572292,1.588,15.92764,2.382,8.7737,5.968101,13.512292,3.66034,24.770418,15.941535,4.764,13.944625,44.196819,23.871213,81.699027,15.086,29.158856,5.161,21.569804,21.481273,17.547797,13.908101,22.26376,7.636295,17.144842,4.780674,48.998931,30.218449,11.96955,21.569804,44.516801,5.955,6.749,15.58225,34.44372,9.139734,79.445258,1.588,36.206797,14.124863,21.590448,70.063354,12.364565,2.779,21.480082,17.151194,148.039315,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,
