2688.395468,818.608045,5.955,249.641143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580.700321,629.791669,3.176,48.53325,1.588,288.593592,6.352,626.240901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507.054563,339.776817,3.97,475.70922,1.985,162.405157,4.764,84.027035,2.382,138.717358,5.955,24.315059,5.161,23.056966,5.955,430.651308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071.165237,183.859037,5.161,27.441037,4.367,160.303439,3.573,12.710352,1.588,8.814988,1.588,19.856749,3.176,376.454853,1.985,57.889349,2.137845,19.010742,5.161,22.798916,6.352,5.797391,1.985,104.430453,2.414951,190.462338,1.985,319.776354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007.337959,122.977102,1.985,234.155761,2.382,116.330528,1.588,207.076788,4.367,239.701057,5.955,9.131,2.779,202.539475,6.760513,5.968101,17.518816,655.955954,3.176,68.945005,10.352569,206.490022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926.674705,58.841752,5.161,116.087961,6.749,478.29766,4.367,168.341101,2.382,88.854158,4.764,123.364971,4.764,97.655251,1.985,75.611826,13.135539,169.415383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036.836771,85.185481,11.228748,455.114845,13.101,121.050858,1.985,77.299076,2.779,398.10366,8.337,47.169158,3.97,133.592485,4.367,93.661828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818.980118,377.165483,7.146,683.652262,5.558,311.864938,1.588,882.649306,65.583606,51.619925,3.573,373.598041,3.176,5.161,1.985,20.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729.913168,52.128879,1.985,346.469443,4.367,69.997452,5.161,162.355532,5.955,9.95676,4.764,11.144187,3.573,82.780852,1.588,68.222465,1.985,145.627143,13.550404,62.230941,3.176,369.519263,1.588,223.303369,10.35376,23.294372,6.352,321.668059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449.709898,71.582673,5.78032,8.877317,1.588,104.898516,2.382,26.760182,21.412195,154.259114,9.528,236.597311,1.588,398.950064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786.648165,166.858703,1.985,98.477438,6.352,34.597359,2.382,8.929324,1.588,256.753001,5.955,78.004942,2.779,94.593984,12.307,19.886921,3.573,6.749,6.352,74.381126,11.513,227.23883,2.382,315.67455,4.764,6.352,3.97,6.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
